,Team 1,Agg.,Team 2,1st leg,2nd leg,year,Team1 goals,Team2 goals
RO16,Roma,2–6,Shakhtar Donetsk,2–3,0–3,2010/11,2,6
RO16,Milan,0–1,Tottenham Hotspur,0–1,0–0,2010/11,0,1
RO16,Valencia,2–4,Schalke 04,1–1,1–3,2010/11,2,4
RO16,Internazionale,3–3 (a),Bayern Munich,0–1,3–2,2010/11,3,3
RO16,Lyon,1–4,Real Madrid,1–1,0–3,2010/11,1,4
RO16,Arsenal,3–4,Barcelona,2–1,1–3,2010/11,3,4
RO16,Marseille,1–2,Manchester United,0–0,1–2,2010/11,1,2
RO16,Copenhagen,0–2,Chelsea,0–2,0–0,2010/11,0,2
Quarter,Real Madrid,5–0,Tottenham Hotspur,4–0,1–0,2010/11,5,0
Quarter,Chelsea,1–3,Manchester United,0–1,1–2,2010/11,1,3
Quarter,Barcelona,6–1,Shakhtar Donetsk,5–1,1–0,2010/11,6,1
Quarter,Internazionale,3–7,Schalke 04,2–5,1–2,2010/11,3,7
Semi,Schalke 04,1–6,Manchester United,0–2,1–4,2010/11,1,6
Semi,Real Madrid,1–3,Barcelona,0–2,1–1,2010/11,1,3
Final,Barcelona,3–1,Manchester United,null,null,2010/11,3,1
RO16,Lyon,1–1 (3–4 p),APOEL,1–0,0–1 (a.e.t.),2011/12,1,1
RO16,Napoli,4–5,Chelsea,3–1,1–4 (a.e.t.),2011/12,4,5
RO16,Milan,4–3,Arsenal,4–0,0–3,2011/12,4,3
RO16,Basel,1–7,Bayern Munich,1–0,0–7,2011/12,1,7
RO16,Bayer Leverkusen,2–10,Barcelona,1–3,1–7,2011/12,2,1
RO16,CSKA Moscow,2–5,Real Madrid,1–1,1–4,2011/12,2,5
RO16,Zenit Saint Petersburg,3–4,Benfica,3–2,0–2,2011/12,3,4
RO16,Marseille,2–2 (a),Internazionale,1–0,1–2,2011/12,2,2
Quarter,APOEL,2–8,Real Madrid,0–3,2–5,2011/12,2,8
Quarter,Marseille,0–4,Bayern Munich,0–2,0–2,2011/12,0,4
Quarter,Benfica,1–3,Chelsea,0–1,1–2,2011/12,1,3
Quarter,Milan,1–3,Barcelona,0–0,1–3,2011/12,1,3
Semi,Bayern Munich,3–3 (3–1 p),Real Madrid,2–1,1–2 (a.e.t.),2011/12,3,3
Semi,Chelsea,3–2,Barcelona,1–0,2–2,2011/12,3,2
Final,Bayern Munich,1–1 (a.e.t.),Chelsea,null,null,2011/12,1,1
RO16,Galatasaray,4–3,Schalke 04,1–1,3–2,2012/13,4,3
RO16,Celtic,0–5,Juventus,0–3,0–2,2012/13,0,5
