,Team 1,score,Team 2,year,Team1 goals,Team2 goals
74,Red Bull Salzburg,2–1,Lille,2021/22,2,1
75,VfL Wolfsburg,1–1,Sevilla,2021/22,1,1
76,Red Bull Salzburg,3–1,VfL Wolfsburg,2021/22,3,1
77,Lille,0–0,Sevilla,2021/22,0,0
78,VfL Wolfsburg,2–1,Red Bull Salzburg,2021/22,2,1
79,Sevilla,1–2,Lille,2021/22,1,2
80,Sevilla,2–0,VfL Wolfsburg,2021/22,2,0
81,Lille,1–0,Red Bull Salzburg,2021/22,1,0
82,VfL Wolfsburg,1–3,Lille,2021/22,1,3
83,Red Bull Salzburg,1–0,Sevilla,2021/22,1,0
84,Chelsea,1–0,Zenit Saint Petersburg,2021/22,1,0
85,Malmö FF,0–3,Juventus,2021/22,0,3
86,Zenit Saint Petersburg,4–0,Malmö FF,2021/22,4,0
87,Juventus,1–0,Chelsea,2021/22,1,0
88,Zenit Saint Petersburg,0–1,Juventus,2021/22,0,1
89,Chelsea,4–0,Malmö FF,2021/22,4,0
90,Malmö FF,0–1,Chelsea,2021/22,0,1
91,Juventus,4–2,Zenit Saint Petersburg,2021/22,4,2
92,Chelsea,4–0,Juventus,2021/22,4,0
93,Malmö FF,1–1,Zenit Saint Petersburg,2021/22,1,1
94,Zenit Saint Petersburg,3–3,Chelsea,2021/22,3,3
95,Juventus,1–0,Malmö FF,2021/22,1,0
0,Ajax,4–0,Rangers,2022/23,4,0
1,Napoli,4–1,Liverpool,2022/23,4,1
2,Liverpool,2–1,Ajax,2022/23,2,1
3,Rangers,0–3,Napoli,2022/23,0,3
4,Liverpool,2–0,Rangers,2022/23,2,0
5,Ajax,1–6,Napoli,2022/23,1,6
6,Napoli,4–2,Ajax,2022/23,4,2
7,Rangers,1–7,Liverpool,2022/23,1,7
8,Napoli,3–0,Rangers,2022/23,3,0
9,Ajax,0–3,Liverpool,2022/23,0,3
10,Liverpool,2–0,Napoli,2022/23,2,0
11,Rangers,1–3,Ajax,2022/23,1,3
12,Atlético Madrid,2–1,Porto,2022/23,2,1
13,Club Brugge,1–0,Bayer Leverkusen,2022/23,1,0
14,Porto,0–4,Club Brugge,2022/23,0,4
15,Bayer Leverkusen,2–0,Atlético Madrid,2022/23,2,0
16,Porto,2–0,Bayer Leverkusen,2022/23,2,0
17,Club Brugge,2–0,Atlético Madrid,2022/23,2,0
18,Atlético Madrid,0–0,Club Brugge,2022/23,0,0
19,Bayer Leverkusen,0–3,Porto,2022/23,0,3
20,Club Brugge,0–4,Porto,2022/23,0,4
21,Atlético Madrid,2–2,Bayer Leverkusen,2022/23,2,2
22,Porto,2–1,Atlético Madrid,2022/23,2,1
23,Bayer Leverkusen,0–0,Club Brugge,2022/23,0,0
24,Barcelona,5–1,Viktoria Plzeň,2022/23,5,1
25,Inter Milan,0–2,Bayern Munich,2022/23,0,2
26,Viktoria Plzeň,0–2,Inter Milan,2022/23,0,2
27,Bayern Munich,2–0,Barcelona,2022/23,2,0
28,Bayern Munich,5–0,Viktoria Plzeň,2022/23,5,0
29,Inter Milan,1–0,Barcelona,2022/23,1,0
30,Barcelona,3–3,Inter Milan,2022/23,3,3
31,Viktoria Plzeň,2–4,Bayern Munich,2022/23,2,4
32,Inter Milan,4–0,Viktoria Plzeň,2022/23,4,0
33,Barcelona,0–3,Bayern Munich,2022/23,0,3
34,Bayern Munich,2–0,Inter Milan,2022/23,2,0
35,Viktoria Plzeň,2–4,Barcelona,2022/23,2,4
36,Eintracht Frankfurt,0–3,Sporting CP,2022/23,0,3
37,Tottenham Hotspur,2–0,Marseille,2022/23,2,0
38,Sporting CP,2–0,Tottenham Hotspur,2022/23,2,0
39,Marseille,0–1,Eintracht Frankfurt,2022/23,0,1
40,Marseille,4–1,Sporting CP,2022/23,4,1
41,Eintracht Frankfurt,0–0,Tottenham Hotspur,2022/23,0,0
42,Tottenham Hotspur,3–2,Eintracht Frankfurt,2022/23,3,2
43,Sporting CP,0–2,Marseille,2022/23,0,2
44,Tottenham Hotspur,1–1,Sporting CP,2022/23,1,1
45,Eintracht Frankfurt,2–1,Marseille,2022/23,2,1
46,Sporting CP,1–2,Eintracht Frankfurt,2022/23,1,2
47,Marseille,1–2,Tottenham Hotspur,2022/23,1,2
48,Dinamo Zagreb,1–0,Chelsea,2022/23,1,0
49,Red Bull Salzburg,1–1,Milan,2022/23,1,1
50,Milan,3–1,Dinamo Zagreb,2022/23,3,1
51,Chelsea,1–1,Red Bull Salzburg,2022/23,1,1
52,Red Bull Salzburg,1–0,Dinamo Zagreb,2022/23,1,0
53,Chelsea,3–0,Milan,2022/23,3,0
54,Dinamo Zagreb,1–1,Red Bull Salzburg,2022/23,1,1
55,Milan,0–2,Chelsea,2022/23,0,2
56,Red Bull Salzburg,1–2,Chelsea,2022/23,1,2
57,Dinamo Zagreb,0–4,Milan,2022/23,0,4
58,Chelsea,2–1,Dinamo Zagreb,2022/23,2,1
59,Milan,4–0,Red Bull Salzburg,2022/23,4,0
60,Celtic,0–3,Real Madrid,2022/23,0,3
61,RB Leipzig,1–4,Shakhtar Donetsk,2022/23,1,4
62,Shakhtar Donetsk,1–1,Celtic,2022/23,1,1
63,Real Madrid,2–0,RB Leipzig,2022/23,2,0
64,RB Leipzig,3–1,Celtic,2022/23,3,1
65,Real Madrid,2–1,Shakhtar Donetsk,2022/23,2,1
66,Shakhtar Donetsk,1–1,Real Madrid,2022/23,1,1
67,Celtic,0–2,RB Leipzig,2022/23,0,2
68,Celtic,1–1,Shakhtar Donetsk,2022/23,1,1
69,RB Leipzig,3–2,Real Madrid,2022/23,3,2
70,Real Madrid,5–1,Celtic,2022/23,5,1
71,Shakhtar Donetsk,0–4,RB Leipzig,2022/23,0,4
72,Borussia Dortmund,3–0,Copenhagen,2022/23,3,0
73,Sevilla,0–4,Manchester City,2022/23,0,4
74,Manchester City,2–1,Borussia Dortmund,2022/23,2,1
75,Copenhagen,0–0,Sevilla,2022/23,0,0
76,Manchester City,5–0,Copenhagen,2022/23,5,0
77,Sevilla,1–4,Borussia Dortmund,2022/23,1,4
78,Copenhagen,0–0,Manchester City,2022/23,0,0
79,Borussia Dortmund,1–1,Sevilla,2022/23,1,1
80,Sevilla,3–0,Copenhagen,2022/23,3,0
81,Borussia Dortmund,0–0,Manchester City,2022/23,0,0
82,Manchester City,3–1,Sevilla,2022/23,3,1
83,Copenhagen,1–1,Borussia Dortmund,2022/23,1,1
84,Paris Saint-Germain,2–1,Juventus,2022/23,2,1
85,Benfica,2–0,Maccabi Haifa,2022/23,2,0
86,Juventus,1–2,Benfica,2022/23,1,2
87,Maccabi Haifa,1–3,Paris Saint-Germain,2022/23,1,3
88,Juventus,3–1,Maccabi Haifa,2022/23,3,1
89,Benfica,1–1,Paris Saint-Germain,2022/23,1,1
90,Maccabi Haifa,2–0,Juventus,2022/23,2,0
91,Paris Saint-Germain,1–1,Benfica,2022/23,1,1
92,Paris Saint-Germain,7–2,Maccabi Haifa,2022/23,7,2
93,Benfica,4–3,Juventus,2022/23,4,3
94,Juventus,1–2,Paris Saint-Germain,2022/23,1,2
95,Maccabi Haifa,1–6,Benfica,2022/23,1,6
